Log file produced by: Storyboard Pro (StoryboardPro.exe) version 24.0.1 build 23015 2024-07-17 12:04:32
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-3.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-3.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-4.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-4.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-5.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-5.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-6.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-6.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-7.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-7.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-8.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-8.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-9.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-9.jpg; OK 
﻿2024-11-26 11:39:38;ACTION;Start Closing project
﻿  2024-11-26 11:39:38;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Draft_Les3_Thumbnails/Draft_Les3_Thumbnails.sboard.lock; OK 
﻿  2024-11-26 11:39:41;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Draft_Les3_Thumbnails/Draft_Les3_Thumbnails.sboard.thumbnails; OK 
﻿2024-11-26 11:39:41;ACTION;End Closing project
